id,strategy
1671,counted the number of people in the first row from start to finish and counted the people from the first column and multiplied
1496,"I counted the amount of space approx 100 people take up in the image, and then determined how many times that space can be multiplied to approximate the total size of the image."
807,"I picked a row and attempted to count roughly how many people were in a row, then studied the number of rows and based my guess around these two combined."
1664,I just guessed as the picture is slightly blurred
11,roughly how many people vertically and horizontally then multiplied
949,did brief count of people in a row and estimated number of rows
477,"Count the blue dots and multiply, but very roughly."
784,"I divided the photo into sections, counted how many people were in one section and multiplied the result by the number of sections"
990,just guessed as the there were to many to count
354,"I looked at how many people there was in the picture and estimated it must be more than 100 because of the size. After that, I just wrote a wild guess"
442,"I roughly counted the people I could see in length and height and multiplied, then rounded up. "
1442,"I counted the people inside a small imaginary square, and then counted how many square there could be on the photo. Of course the top part of the picture was more dense with people so I tried to balance this out."
1393,"made a rough guess, then counted a small section and adjusted my guess based on the sample"
1810,I thought about how many people each row would fit and just estimate from there
501,A rough guess by trying to calculate rows x people in row.
535,i calculated the first line and saw that these people a more than 200.
966,"Roughly estimated the number of rows, multiplied roughly by the number of people standing at the top row "
350,Approx number of rows multiplied by number of people in a row roughly. Then I rounded it down a bit as full rows not all visible in the photo. 
1467,"I tried to figure out roughly how much space 100 people would take in the photo. I was going to guess 10,000, but after looking at how much 100 was I thought it would be lower."
1633,"I estimated how many were in a specific area, the extrapolated that to the rest of the group, depending on how dense I felt the remaining areas were"
1395,I marked a really small square and counted the number of blue dots inside. Then I divided the picture into the estimated number of similar squares and simply multiplied.
1386,what i did was divided each part of the screen into smaller sections then counted how many people where in that section and then estimated how many sections there would be
1230,I looked at the amount of people and tried to think about capacity sizes I do know. I then tried to mentally compare those sizes (such as a large theatre) to the number of people in the photo and came to my conclusion.
1115,"counted the number of people I could see in the bottom left hand corner, and then multiplied that number by the grid I estimated the size of the photo to be, and rounded the number up a little (guesstimation) to take into account the people being closer together/more in a grid portion in the upper portions"
148,i divide it in sectors and count the sectors
844,I guess the amount based on how many people is goong to march or manifestations and it looks similar
697,counted 50 blue dots along and ten rows for an idea of how many would 500 be.  Guessed in terms of how many of the 500 squares.
1324,"I gaged and estimated how many people would be in the picture, I have somewhat of an idea of crowds through my industry so I utilised that background."
1625,i counted the number of rows and estimated how many people could be there in each row and then multiplied them together
1110,I counted the persons in a few rows and then I multiplied the sum with all the rows. The total number is just a rough guess
565,I counted 1 row and estimated the rest with that in mind.
1507,First counted 10 people to get an estimated area. Using this estimate I divided the total area with it and got 500 then multiplied by 10 to get the final answer of 5000
1118,i counted a small patch and then multiplied the number of people in that patch by the height of the picture (so 5x5 people high) and then the same again wide. Then I added some extra people because the depth of the photo means there's more people in a smaller space toward the back.
313,"I took into account that the people are at a stadium, The stadium looked packed which could mean it was sold out and I tried to estimate how many seats there are based of off general knowledge."
1219,"I counted about 10 or so people as a group, then throwed out a guess estimate figure based on the number of 'groups'. I also think in images of crowds, 100 people look smaller than they actually are."
1344,I did a quick count of the heads in the bottom row and multiplied by number of rows then doubled it due to larger number of people in the upper section of the stadium
377,"I just estimate, that it is about 1000, but not more than 2000"
825,"I just thought that stadium could hold about 60k people, and a certain section like that would probably hold about 4k or less."
902,"Merely visual. However, tried to take into account that the average stadium has about 50-60k capacity and tried to use that to get to this number"
1266,"I roughly counted how many were in the middle of the picture, as this seemed to be the area where it was about average. I then multiplied it by how many of that area would fit in the whole image."
662,From knowledge of stadium capacity I estimated this fraction of a whole stadium
1509,"I looked at first row, and countend 10 peopel, looked how much space they took on the photo and multiplied it by arrea of the photo, taking to consideration that crowd further down is more dense on the picture related to the front."
282,"I checked how much space 10 people took, then estimated based on surface and density."
92,i counted a few of the below that were closer to the edge of the picture and tried to estimate based on that
432,Very roughly counted the number of rows of people and then roughly divided the picture into columns without being too concerned about accuracy because the rows were already different sizes.
1600,"I tried to guess how many people were in each row between two points. Then I tried to determine how many rows there were, and multiplied accordingly. I then added 100 more people, as some of the people appeared to blend together in the photo."
895,I roughly counted how many people across then down and multiplied them.
271,"The scene, how many rows, an established guess "
627,Estimated the number of people in a row and counted roughly how many rows there were
1889,I started counting the first row to get a number basis of people. And then I just really looked at it and estimated- Iâm not sure if Iâm close at all or super off the mark. But I gave my best guess! 
1557,I counted how many rows there were and how many people in it row. Then I multiplied the two numbers.
386,tried counting but failed so I figured the first row is smaller than the second so I just based my assumptions according to that
831,"looked at the picture, thought about how many a stadium holds and how much of a stadium we could see"
858,"the picture was a fraction of a real stadium, so i divide de regular capacity of a stadium by how much i estimate de fraction on the picture was."
1140,"I think it went pretty well. I counted number of people in one row, then I tried guessing."
1701,I just made an estimate based on my impression of the crowd
681,I just took a guess
86,Estimated the number in a row and a number in a column then multiplied the two. Added because the rows aren't equal
267,One of our lecture theaters at my university has the capacity of around 400 people. So i estimated based on photographic memory of the lecture theater and how many more people don't fit within that cap.
134,I roughly counted the people in a row and then roughly counted the number of rows
1421,I just guessed the number. A whole stadium has tens of thousands so I tried to decide what a section of that would be
853,Took one section and counted number of people in a row and then multiplied this by the number of rows. Counted how many sections were roughly equivalent to this and multiplied
836,"Count how many people there are per row, and then per stands, multiply it and get an estimate."
1498,I tried to cluster the picture and count a small group and then tried to count for the row how many groups there are.
1263,I looked at my screen from far away and just guessed.
45,It was good. kind of everwellming cause there were a lot of details
1173,"Count the number of people in a row, and guess how many rows there are "
245,"i basicaly made a wild guess, i go a lot to a football stadium, and it has around 50000 total and it looked like a small chunk from the corners which from what i know has between 1 and 2k places"
1566,Creating a small section of the picture. Counting people in that section and multiplying by number of sections
77,tried to see how many dots there are on a row and get a rough estimate (increments of 250) .It seemed to be between 750 and 1000 to me
942,"I tried to count one row"" in the middle then multiply that with the amount of rows. I knew it would be a tricky to estimate because of the varying density so I rounded it out to 50 x 30 = 1500"""
423,"I thought about past experiences with full rooms of people and knowing how many people where there; I usually naturally think there are less than there are, so now I just assume double or something"
1210,"Counted a few people in rows, then multiplied by the number of rows and aproximated"
1779,I counted some and using that information I visually guessed 
504,counted 3 different subsections and made an estimate of each. Added up the 3 estimates.
1245,looked at a small section of the picture and tried to estimate the number of people in that section and then scale up
117,I tried counting the people on a single row and multiply it by the approximate number of rows in the picture.
94,there was a match being watched. a lot of crowd and they are all on the same team
552,I just looked around and tried to imagine how many people I thought would fit in an arena about that size
1162,I looked a square of 10x10 n then counted same spaces across and down
1550,I counted the number of people in the front row and tried to multiply it by the numer of rows and add to that the increasing numer of people in the row
856,Rough estimate on a number that seemed sensible 
821,I attempted to count along the number of people in a row and multiply that by how many rows. Then adjusted down as less people in the lower rows.
1680,I tried to like count one row but then I just estimated like less than half of a standard futbol stadium 
252,took a long time and manually counted one by one.
920,Guessing that there were a number within a particular space and then multiplying that. Then I added more people because I was probably too low.
750,"Density, Area Coverage,Perspective and Angle"
1361,I looked at all of the blue dots and then took a guess
1545,i tried to determine how many people were per row and how many rows there were and then multiplied those results
1869,"I used a grid in my mind to split the sections, guess the number for one cell on the grid and then count the number of cells in the grid"
1768,"I counted a small group on the screen, then estimated how much space that took up. Then, using that guessed the number based on multiplying that group and how much it fills the picture."
1559,"I looked at the general picture, tried to estimate what a group of 100 would look like and try to guess from there."
1606,I saw what a group of 10 dots looks like and then I tried to count it by eye in groups
1315,"It was just a random guess, looking at the crowd and the type of arena they were situated in. "
1819,"I counted 1 row and then counted how many rows I could see in the first half of the benches, then I did the same for the other half . I will admit it was an more estimtaed count because of  the picture quality of the picture."
1716,"At first i tried to count how many people were on each side and the multiply each number, but there was no clear side. So i just took a wild guess"
1218,"counted about 10 blue dots and took a note of how much space they took in the picture, then visually tried to guess how many such pieces would fit in the whole picture"
1508,"thought about the average size of a football stadium, and tried to see how would be, and then tried to imagine how many people would fit on that section"
1696,Counted a few in a small space (~10) and made an estimate of how often this group appeared in the larger picture.
1771,Counted people in a small area of the photo and roughly scaled up to estimate the total.
217,Rough estimate based on a number that seemed sensible 
1143,"I quickly counted the people in the first line and based on intuition I decided that there were 5000 of them. Not long ago I was at a concert where there was a similar number, But you confused me with the blue dots"" :)."""
1018,Just an estimation based on the density and size of the picture.it was not very much scientific
704,it was normal counting dots
1227,"Started to try to count ten people. Then looked at how much space ten people took up within the frame, chose a number of spaces and multiplied it by 10. Then felt my total was stupidly high so gave up and guessed."
1373,guessed the number of rows and multiplied it by a guess of the average number of people in each row
711,i make a guess on the crowd.
510,counted one row and one colum
864,I tried to work out how many rows there were in the picture. Then I counted how many people were in one row. I then multiplied those two numbers together.
1899,"I tried to identify the rough number of people in the rows at the front of the picture, then multiplied by that number, then estimated the number of people in the distance added those two numbers to gether and rounded to nearest 1000"
883,"i picked a small segment of the image and counted roughly how many people there were in that segment (by counting the blue dots), then multiplied it by how segments of roughly the same size (accounting for perspective) i could see"
382,I counted one row and one column and multiplied it together. So that was one section. I saw 4 sections in total
332,i was guessing
469,i imagined my local stadium that has about 5000 seats and then i made a guess by comparing the stadium to the photo
1087,I counted the crowd using the blue dot highlighted above their head. Also by doing a scanning sample method.
1180,I counted some people in a âblockâ closest to me and extrapolated from that. I only spend around 10 seconds on the task.
339,"I counted one row of people which was about 75, then mkutiplied by the number of rows visible, then rounded up to 2k"
1495,"I just thought: Huh, these people are in a stadium. The capacity of a stadium can go to 50-60,000 people. Then I let my brain do the rest of work, i.e. I just looked at the number of people, and picked the number that seemed right that came up in my brain!"
1786,"quickly counted blue dots in a line, multiplied by number of rows i could counts and added a few 100s for good measure"
1542,I counted a row of blue circles and then multiplied by the rows shown on the screen and tries to guestimate pretty much.
1452,I just checked the number of rows and multiplied it with the columns to see the approximate number of people.
397,Using my experience of going to football matches and knowing the stadiums capacities 
834,"I mostly just gave a rough estimate,but i did try to think of events that i have watched that showed their arenas and stated the max amount of spectators and i tried to compare them to the picture."
13,Counted amount of faces in one of the largest rows and then the amount of rows. 
1822,It was a guess because of an experience through my life in crowd.  
1378,I counted the average row amount and average column amount and multiplied the numbers. 
723,I looked at 1 row of people and did a quick count. Then I looked at the whole picture and had an educated guess as to the number of rows and people. I also thought about my memory of standing in front of 300 people and what that looked like and compared it.
827,trying to guess based on crowd attendance numbers i saw in reports of some arena shows
1728,Thought about a football/soccer stadium sector
